ลำดับ,มหาวิทยาลัย,หลักสูตร,ลิงก์
1,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/10100101300502A?
2,มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/10100329303701A?
3,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/10160101303701I?
4,มหาวิทยาลัยอุบลราชธานี วิทยาเขตหลัก,วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/10180113303703A?
5,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/31970104300502A?
6,สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),https://course.mytcas.com/programs/49180101303701A?
