No,University,Program,Course Name,Course Type,Link,Cost,CleanCosts,term,Total program cost
1,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วิศวกรรมปัญญาประดิษฐ์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10100101300502A?,"อัตราค่าเล่าเรียน 28,000.-/ภาคการศึกษา","28000","28,000","224,000"
2,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมปัญญาประดิษฐ์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ),Joint Degree - นานาชาติ,https://course.mytcas.com/programs/10160101303701I?,"175,000 ต่อภาคการศึกษา","175000","21,875","175,000"
3,มหาวิทยาลัยอุบลราชธานี วิทยาเขตหลัก,วิศวกรรมปัญญาประดิษฐ์,วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10180113303703A?,"อัตราค่าเล่าเรียน  28,000 ต่อภาคการศึกษา หรือ 224,000 ตลอดหลักสูตร","224000","28,000","224,000"
4,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,วิศวกรรมปัญญาประดิษฐ์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,ภาษาไทย ปกติ,https://course.mytcas.com/programs/31970104300502A?,"110,000","110,000","13,750","110,000"
5,สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/49180101303701A?,"อัตราค่าเล่าเรียน 384,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)","384,000","48,000","384,000"
